KODE MATERIAL,NAMA,SPESIFIKASI
D51RK0001,vlock sock,UK:2-1 || MATERIAL: STAINLESS STEEL || THREAD NPT
D51VA0001,Y-STRAINER,1/2 || TYPE : Y STRAINER CLASS 150 WOG || MATERIAL : BRASS
D52TA1101,MCB,RATED CURRENT: 20 A || BREAKING CAPACITY: 20KA || 1 P 220 VAC 50 Hz || IEC 60947-2
D52TA2301,MCCB,RATED CURRENT: 350A || BREAKING CAPACITY: 25KA || 3P 380/415 VAC || IEC 60947- 2
D52TC2250,RELAY,PHASE FAILURE RELAY || K8DS-PU2 || OPR. VOLTAGE: 380 VAC || OUT : 250 VAC 5A
D52TC3001,RELAY+SOCKET,MY4NJ || COIL: 24 VDC || 14 PIN || OUT: 5A
D52TC3002,RELAY+SOCKET,MY2NJ || COIL: 24 VDC || 8 PIN || OUT: 5A
D52TC4301,CAM STARTER,P/N: QS5-15A || 15A 500V || 2 POSITION-ON/OFF
D52TC4501,RELAY,P/N: RU2S-C-D12 || VOLTAGE: 12VDC || MAX CURRENT:10 A
D52TD0101,IC REGULATOR,P/N: L7915CV || VOLTAGE OUTPUT: -15 || CURRENT:1.5A
D52TD0501,ELECTRIC MOTOR,ARW61G8P30AC || POWER: 30 W || VOLTAGE: 280-340 VDC
D52TD2220,LAMPU,EMERGENCY LAMP || 220 VAC || EXIT SIGN || EMERGENCY TIME 2 HOURS
D52TE0024,TY-RAF TYPE : 24,T <(>&<)> B / PANDUIT (PENGUNCI PAKAI PLAT)
D52TE0025,TY-RAP TYPE : 25,T <(>&<)> B / PANDUIT (PENGUNCI PAKAI PLAT)
D52TE0028,TY-RAP TYPE : 28,T<(>&<)>B / PANDUIT ( PENGUNCI PAKAI PLAT )
D52TE0303,LAMPU,FOGLAMP || BA15S || 24 VDC || 60W ||
D52TE0304,LAMPU,LAMPU PJU || VOLTAGE: 220 VAC || POWER: 150 W || COLOUR: WHITE
D52TE2001,LAMPU,FLASHING LIGHT || 220 VAC 50 Hz || COLOUR RED || DIAMETER: 12 CM
D52TE3501,LAMPU,LED || POWER: 50 W || VOLTAGE || 220VAC-50Hz || LUMEN MIN: 4500 LM
D52TE4301,LAMPU,LED BULB || COLOUR: WHITE (COOL DAYLIGHT) || 220 VAC 50 Hz || 12 W || LUMINOUS MIN: 1310 LM
D52TE6002,MOTOR BRAKE,GS 26089484 || 110 V - 500 VAC || 1 A DC
D52TE6004,MOTOR STEPPER,P/N: 24BYJ48 || 12V || PHASE: 4 PHASE 5 WIRE ||
D52TE6808,LAMPU,LED || UK: PL600X600D || 220VAC-40W || LUMEN: 6500 || COLOR: COOL WHITE ||
D52TF4741,FAN,FAN. COOLING || ENGINE: 4TNV106-GGE || P/N: 123915-44741
D52TG0101,LCD,DIAGONAL SIZE 5.7 || COLOUR: MONOCHROME || P/N: SP14Q005
D52TH0201,COMPRESSOR,TYPE: PH36VPXT || INPUT 220V-50Hz || POWER INPUT: 2000W || REFRIGERANT: R-22
D52TH1520,PIPA,PIPA AC 1/4+1/2 || CAP AC: 1.5 PK - 2 PK
D52TH5814,PIPA,PIPA AC 5/8+1/4 || CAP AC: 1.5 PK - 2 PK
D52TI0501,ROTARY SWITCH,ROTARY SWITCH 12 POSITION || 13 A MAX || COMPLETED KNOB WITH DIAMETER : 45 mm
D52TI2802,TERMINAL BLOCK,P/N: TC-1004 || 4 POLE 100 AMPERE
D52TI4601,CABLE LUG,FORK TYPE || CABLE SIZE: 2.5 mm虏 || BOLT: M4 || MATERIAL: COPPER || SURFACE: TIN PLATE || INSULATED
D52TI4602,CABLE LUG,FORK TYPE || CABLE SIZE: 2.5 mm虏 || BOLT: M5 || MATERIAL: COPPER || SURFACE: TIN PLATE || INSULATED
D52TI4603,CABLE LUG,FORK TYPE || CABLE SIZE: 2.5 mm虏 || BOLT: M6 || MATERIAL: COPPER || SURFACE: TIN PLATE || INSULATED
D52TI4604,CABLE LUG,FORK TYPE || CABLE SIZE: 4 mm虏 || BOLT: M5 || MATERIAL: COPPER || SURFACE: TIN PLATE || INSULATED
D52TI7001,PENDANT SWITCHABLE TROLLEY,VOLTAGE RATING: 900 VDC || RATED BREAKING CAP: 250 A || DRAWING NUMBER: M3249
D52TI7063,PENDANT SWITCH,SINGLE SPEED || 6 BUTTON || RATED VOLTAGE: 120 VAC ||RATED CURRENT: 3 A || WITHOUT ON/OFF BUTTON
D52TK0001,HEAT SHRINK,DIA: 6 MM || BLACK
D52TK0902,HOSE,MATERIAL: POLYURETHANE || OD: 10mm || ID 6.5mm || COLOR: CLEAR
D52TM0102,THERMAL FUSE,P2-5A-F || CURRENT: 5 A || VOLTAGE: 250 V || TEMPERATUR: 115 DEGREE
D52TN0901,BATTERY,SIZE:D || TYPE: LR20-AMI ||VOLTAGE:1.5V
D52TO0201,BATTERY CHARGER,INPUT VOLTAGE: 220 VAC 50 Hz || CHARGING VOLTAGE: 12 - 24 VDC || OUTPUT CURRENT: 30 A || AUTOMAMATIC CUT OFF ||
D52TO2001,INVERTER,ATV93015D16N4 || INPUT VOLTAGE: 3 PHASE 380 || POWER : 15 KW
D52TO2002,INVERTER,INPUT RANGE:110-125VDC || OUTPUT:220VAC 50Hz/60Hz ||RATED CAPACITY:2KVA || RATE OUTPUT POWER:1.6 KW || COOLING: FORCED FAN ||
D52TO2421,TRANSFORMER,CURRENT TRANSFORMER || IHBF 24C21 || MEDIUM VOLTAGE 24kV || 2X200//5/5A
D52TO2502,PUMP,P/N: SPK 4-8/8 AA-W-A-CVBV || FLOW: 4.5 m鲁/h || HEAD: 35.4 m || POWER: 0.55 KW
D52TO2602,STARTER,S10-P || POWER: 4 - 65 W || VOLTAGE: 220-240 V
D52TO2701,MOTOR BRAKE,P/N: 8180152 || INPUT VOLTAGE: 200-500V || OUTPUT VOLTAGE: 200-300 VDC || OUTPUT MAX CURRENT: 1.8 A
D52TO2746,ELECTRIC MOTOR,PIPE THREADING MACINE BEAVER 50 || INPUT: 1 PHASE 220 VAC 50 Hz || RPM NO LOAD: 25000 RPM || CURRENT: 4.6 A
D52TO3401,AIR COMPRESSOR CONTROLLER,P/N: 19067875 || 24VAC 1A ||
D52TO3901,TRANSFORMER,WELDING TRANSFORMER || HFT-90N-6C || INPUT: 600 V || RAT FREQ: 700 Hz || WELD CURR: 18 kA || RAT CAP: 90 kVA
D52TP0501,PROXIMITY SENSOR,E2E-X10MY2 2M || DISTANCE: 10mm || MODE: NC || VOLTAGE: 20 -264 VAC
D52TP0512,SOLENOID VALVE,HYDRAULIC SHEAR H2565. H3065. H4065. H3013 || TYPE: 4WEH20L 2.2P/W100N-512 || NO. UNIT 18 || NO INDEX 77
D52TP1116,MANUAL PULSE GENERATOR,SERIES: EHDW-CDBL-IM-C16 || CABLE LENGTH: 5M || 12 VDC
D52TP1301,CARBON BRUSH,WIDTH: 7mm x THICKNESS:6mm x LENGTH: 20 mm || MATERIAL : CARBON. METAL || SPRING: 17mm
D52TP3585,UNLOAD RELIEF VALVE,HYDRAULIC SHEAR H2565. H3065. H4065. H3013 || TYPE: KDE20P-1.0-315-85 || NO. UNIT 18 || NO INDEX 35
D52TP3605,SOLENOID VALVE,SY7140-5DZ || TYPE of ACTUATION: 2- POSITION SINGLE || COIL SPESIFICATIONS: STANDARD || RATED VOLTAGE: 24VDC || ELECTRICAL ENTRY: WITH CONNECTOR || WITH LIGHT/SURGE VOLTAGE SUPPRESSOR
D52TP3607,SOLENOID VALVE,BALL VALVE 2 || MODEL: BTB2000B-50 || PORT SIZE: 1/4 || MATERIAL: BRASS
D52TP4122,SOLENOID VALVE,HYDRAULIC SHEAR H2565. H3065. H4065 || TYPE: 4WE10Y22/W 100N || NO. UNIT 18 || NO INDEX 31
D52TP5101,GENERATOR CONTROLLER,P/N: 6010-002-01 || MAXIMUM OPERATING CURRENT: 150mA 12V/80mA 24V || GENERATOR INPUT RANGE: 15V to 333V AC
D52TP7210,GENERATOR,ENGINE: 4TNV106-GGE || 12V || 60A || 123900-77210
D52TQ0101,PLC,P/N: G9SE-201 || RATED VOLTAGE: 24VDC 3W ||
D52TQ2801,PCB,MACHINE MZ-1000 DONGSUN || P/N: 200903
D52TQ2806,PCB,DIAROL DL-SBZ || CIRCUIT BOARD SB-AX3 || P/N: BD624A995H04 ||
D52TQ2807,PCB,DIAROL DL-SBZ || CIRCUIT BOARD SB-SA1 || P/N: BD625A174H04
D52UM0204,LOAD BREAK SWITCH,RAT CURRENT: 800 A || RAT VOLTAGE: 415 VAC || HANDLE: EXTERNAL FRONT OPERATION || BREAK CAP: 6400 A
D52UM0205,LOAD BREAK SWITCH,RAT CURRENT: 1000 A || RAT VOLTAGE: 415 VAC || HANDLE: EXTERNAL FRONT OPERATION || BREAK CAP: 8000 A
D52UM0206,LEVEL SWITCH,ST-70 AB || 220V-5OHz ||
D52UM0501,SOCKET,4 Pin MALE AND FEMALE || LENGTH:35mm || WIDTH:14mm || HEIGHT:19mm
D62QE3626K,CAT BESI @1KG/KLG KUNING EMCO,0
D64QF7737A,THINNER A SPECIAL @ 1LTR/KLG,0
D66UG0024,PAPER TAPE,NACHI 24MM X 72 X 20M
D67UK0001,MAJUN KAOS,0
D68QH1012,LOCTITE,0
D68UY0310,LEAD TEST,TL03-TOS || CABLE LENGTH 1.5 M || MAX 10KV
D71SB0052,DRILL HSS NACHI,DIA: 5.20 MM
D71SB0068,DRILL,0
D72SD0010,TAP SPIRAL POINTED,/D.SHANK:7MM HTD
D73ML0250,PCB,SMC E-P PROPORTIONAL VALVE POWER AMP || VEA250 || 24 VDC
D73SH0011,STEER CYLINDER,MITSUBISHI FD30N || P/N: 91E43-06100
D73SH2206,COMPRESSOR,PANASONIC || TYPE: 2PS206D3AA06 || 1 PHASE 220/240 VAC || 50 Hz || R22
D73SH2324,COMPRESSOR,PANASONIC || TYPE: 2KS324D5EA04 || 1 PHASE 220/240 VAC || 50 Hz || R22
D73SH4064,KIPAS ANGIN,KIPAS ANGIN DINDING || 220 VAC || DIA: 16
D73SH5022,COMPRESSOR,PANASONIC || TYPE: 9KS205DBA21 || 1 PHASE 220/240 VAC || 50 Hz || R32 || 2PK
D73SH5032,COMPRESSOR,PANASONIC || TYPE: 9PS102DCA21 || 1 PHASE 220/240 VAC || 50 Hz || R32 || 1PK
D73SK0001,ROLLER CHAIN,P/N: EK50D || LENGTH: 3.048 M
D73TI0107,AIR HYDRAULIC CYLINDER,TOX PRESSOTECHNIK || TYPE: VH2.8.170.30.10-.7R
D73TI0180,BROSTEL (CARBON BRUSH),FOR MESIN GERINDA 180MM BOSCH
D73TI0300,BALL VALVE,DIA: 3
D73TI0400,BALL VALVE,DIA: 4
D73TI0540,FEED SCREW (R) BACK GAUGE,HYDRAULIC SHEAR || H-2565. H-3065. H-4065 || H-3013 || NO. UNIT 11 || INDEX NO. 4 || NO. DRAWING 4010539b
D73TI0541,FEED SCREW (L) BACK GAUGE,HYDRAULIC SHEAR || H-2565. H-3065. H-4065 || H-3013 || NO. UNIT 11 || INDEX NO. 44 || NO. DRAWING 4010540c
D73TI1010,AIR HYDRAULIC CYLINDER,TOX PRESSOTECHNIK || TYPE: K1.100.10 || TOTAL STROKE: 100mm || POWER STROKE: 10mm
D73TI1016,FOOT VALVE,DIA: 4
D73TI3034,PUMP,CENTRIFUGAL PUMP || 1450 - 1800 RPM || MAX WP: 16 BAR || FLOW: 108 M鲁/h at HEAD 30 M || IN: 4 || OUT: 3 || MECHANICAL SEAL || INCLUDE COUPLING
D73TI4033,END SHIELD SET,DEMAG || END SHIELD SET B16/ PK || FG28 || P/N: 56124033
D73TI4070,CENTRIFUGAL PUMP,CENTRIFUGAL PUMP || SINGLE STAGE || FLOW: 120-140m鲁/h || POWER: 30KW || INLET: 80mm || OUTLET: 65mm || HEAD: 40-70m || 2900 RPM
D73TI4400,PUMP,VERTICAL CENTRIFUGAL PUMP || COMPLETE SET || 40LPD5.75 || 3桅 200 VAC 50Hz || 0.75kW || MECHANICAL SEAL || IN: 40mm || OUT: 40mm
D73TI5054,BALL SCREW,P/N: SFNU02505-4 || DIAMETER: 62mm || LENGTH: 51mm
D73TI6030,JAW SCROLL CHUCK,SIZE 6鈥 || BOLT CIRCLE DIA: 5.591
D73TI7620,FOOT VALVE,DIA: 3
D73TI1315,OIL SEAL,BUCKET SPINDLE RUBBER OIL SEAL || 130 x 150 x 8 VB || ID: 130 mm || OD: 150 mm || WIDTH: 8 mm
D52TE6807,LAMPU,LED || POWER: 12 W || DIAMETER: 185mm || LUMEN MIN: 1159 LM
C96JB2040,WIRE ROPE BLOCK HOOK,EN4/1 REEVING  || 20 T LOAD CAP
B98MA0475,PCB,DAIHEN C 0045 q FOR MESIN LAS XD OTC
D52TI2801,PCB,TERMINAL STAND PCB || DIT 543-5 || P/N: NAS-498A
D52TQ2809,PCB,P/N: P7539Q || for OTC DYNA AUTO XS500
D52TQ2810,PCB,PRESS BRAKE || P/N: SP-01890 C
D73ML0466,PCB,INVERTER PCB || DIT543-5 || P/N: NAS-466D
D73ML0579,PCB,CONTROL PCB || DIT543-5 || P/N: NAS-579
D73ML8814,PCB,MANUAL PLASMA CUTTING ZIP 4.0 || P/N 8814-1061 SAF
D73TI0152,PCB,NB.350 || H 152B1-1014-280 || M. LAS TIME
B73TA6019,PCB FOR PLASMA CUTTING,FOR M.3000 PART NO.P 6019 H00
B73TA75391R,PCB LAS,OTC DYNA AUTO SEMI AUTO OTC NO PART : 7539 R00
B73TA7204P,PCB MESIN LAS,OTC NO.P 7204 P00
D73TI0153,PCB NB.350,Daihen. part no: P 6930 S PENGGUNAAN : mesin Plasma Cutting M3500 OTC
D73ML6930,PCB Plasma cutting,
D73TI5209,PCB TIG WELDING (HYLCO),HM-04-A4 . SF-5 E233154. 5Li94V-0. 5209
D74SJ4010,BEARING,ANGULAR CONTACT BALL BEARING || ZKLF40100-2RS || SHAFT 桅: 40mm || OD: 100mm
D76SS0402E,BLADE,CSW 220 || UPPER BLADE || NO. DRAWING 290402E || NO. UNIT 1 (RAM) || NO INDEX.17
D76SS0403H,BLADE,CSW 220 || UPPER BLADE || NO. DRAWING 290403H || NO. UNIT 1 (RAM) || NO INDEX.18
D76SS0432H,BLADE,CSW 220 || LOWER BLADE || NO. DRAWING 290432H || NO. UNIT 2 (TABLE) || NO INDEX.17
D76SS0433H,BLADE,CSW 220 || LOWER BLADE || NO. DRAWING 290433H || NO. UNIT 2 (TABLE) || NO INDEX.12
D76SS1036A,BLADE,CSH 220 || BLADE(LEFT) || NO. DRAWING 5021036A || NO. UNIT 03 (TABLE) || NO INDEX.31
D76SS1037A,BLADE,CSH 220 || BLADE (RIGHT) || NO. DRAWING 5021037A || NO. UNIT 03 (TABLE) || NO INDEX.33
D96JB3072,ELECTRIC CHAIN HOIST,SINGLE SPEED || CAPACITY: 500KG || 380 VAC 50Hz || LIFT: 3 M || 7.2 M/MIN
D98AZ0001,PIPA,FLEXIBLE COOLANT PIPE || LENGTH: 500mm || THREAD EXTERNAL SIZE: 3/8
D98EA0178,O-RING,VMC 6535 50T ||  || P/N HDW-1237 || O-RING BUNA -275 50T DRAWBAR CYL 105 X
D98MA0005,BELT,TIMING BELT || 28X8X900 || LENGTH: 900 mm || WIDTH: 28 mm
D98MA8808,BELT,SYNCHRONOUS BELT || P/N: 880-8YU || TEETH: 110 || WIDTH: 50mm
D98SJ5510,BEARING,UC SETSCREW WIDE INNER RING BALL BEARING || UC211 || ID: 55mm || OD || 100mm
D98TI0191,HOLD-DOWN CYLINDER ASS'Y,HYDRAULIC SHEAR || H-2565. H-3065. H-4065 || NO. DRAWING 4011015A || NO. UNIT 5 (HOLD DOWN CYLINDER) || NO INDEX. 1
D98TI0192,HOLD-DOWN CYLINDER ASS'Y,HYDRAULIC SHEAR || H-3013. H-4013 || NO. DRAWING 4011029 || NO. UNIT 5 (HOLD DOWN CYLINDER) || NO INDEX. 2
D98TI2003,WATER COOLING UNIT,WRC 500A ||380 VAC 50 HZ || MAX PRESSURE: 3 BAR || TANK CAP: 25L || FLOW: 8.5L/MIN
TBMS064,SEAL O RING,SEAL HYDRAULIC USH 40X50X6
D98DE0001,SEAL KIT,SEAL KIT PUMP IPH-5A-40-10 || SEAL KIT NO: IHAS-2S5040-10
D98DE0002,SEAL KIT,SEAL KIT PUMP IPH-5A-64-10 || SEAL KIT NO: IHAS-2S5064-10
D98AG0026,HYDRAULLIC CLAMP (THIN) ASS'Y,NCT PUNCH PRESS || COMA 506072 || NO UNIT 26 || NO INDEX 3 || NO CODE: 74161306 || NO DRAWING: 826070i ||
D98AG0027,HYDRAULLIC CLAMP (THICK) ASS'Y,NCT PUNCH PRESS || COMA 506072 || NO UNIT 27 || NO INDEX 3 || NO CODE: 74161305 || NO DRAWING: 826040E ||
D98EF0003,BLADE,HYDRAULLIC SHEAR CNC HVR 4100-10 || TOP/BLADE BLADE KRESO HGD 4100-10/13/16 HVR 4100-10/13 SS.2235.00.01.01
D98MA0188,WAY COVER,Y AXIS REAR for FADAL VMC 6535 50 TAPER  || P/N. CVR-0188
D90GW0400,ELECTRONIC PRESSURE SWITCH,ZDO 01.400 A || MAX PRESSURE: 400 BAR || COMPLETED BRACKET. TRANSDUCER ZDS. ELECTRIC CONNECTION CABLE || FOR K1.100.10
D98NE0001,CHILLER,AIR COOLED REFRIGERATION || VOLTAGE: 1蠒 220 VAC 50 Hz || COOLING CAP: 4.7 kW || THREAD TYPE: Rc 1/2 || TANK: 5L || RATED FLOW RATE: 23
D98EF0001,BLADE,HYDRAULIC SHEAR H-2565 || LOWER BLADE || NO. DRAWING 4011166 || UNIT 2 (MACHINE BODY) || NO INDEX. 73
D98DE0003,SEAL KIT,CM-14010 ||
D73TW0002,PUMP,HYDRAULIC SHEAR || H-3013. H-4013 || NO. UNIT 18 || INDEX NO. 11 || TYPE: IPH-5A-64-10
D90GX0001,THERMAL RECORDER,PHA 66004-EA0TVl || 100 VAC || INPUT SIGNAL: THERMOCOUPLE K ||
D98TI3644,SEAL,SQUARE SEAL || ID: 36mm || OD: 44mm || WIDTH: 3.5mm
D98TI4045,SEAL,ROAD SEAL || CU0368D2 || UPH-30A || ID: 30mm || OD: 45mm || HEIGHT: 10mm || MATERIAL: NBR
D98EF0002,BLADE,HYDRAULIC SHEAR H-2565 || UPPER BLADE || NO. DRAWING 4011165 || UNIT 2 (MACHINE BODY) || NO INDEX. 74
D98TI0155,BLADE,HYDRAULIC SHEAR H-3065 || LOWER BLADE || NO. DRAWING 4010871 || NO. UNIT 02 (MACHINE BODY) || NO INDEX. 73
D98TI0157,BLADE,HYDRAULIC SHEAR H-3013 || LOWER BLADE || NO. DRAWING 4011377 || NO. UNIT 02 (MACHINE BODY) || NO INDEX. 73
D83SH3150,REFRIGERATED AIR DRYER,OPERATING PRESSURE : 0.7MPa || INLET AIR TEMP : 5-50藲C || INLET AIR PRESSURE : 0.15-1.0 MPa || 220 VAC || 50Hz || RC 1 || AIR FLOW CAP: 3
D73TR0010,POWER PIN TIP,MILLER POWER PIN KIT || ALUMINUM WIRE: P/N: 214-9
D77TN0302,TORCH SWITCH ASSEMBLY,MODEL CT 0302 || P/N: K2081A00
D77TR4170,LINER,3M || 0.9-1.2 mm || P/N U4170H02
D77TR4174,LINER,4.5M || 0.9-1.2 mm || P/N U4535G01
D98MA0015,JUMP LINER,BERNARD BTB MIG GUNS || 8 BRONZE JUMP LINER FOR USE WITH LINER || P/N: 415-25
D98EB0001,CONTROL PLUG AND LEADS,MIG GUNS || P/N: 419-4
D98MA0004,WIRE FEEDER,WIRE FEEDER MODEL: CMXL 2302 U5790 || WIRE DIA: 0.8 - 1.6 || FEEDING SPEED: 18 M/min
D98MA0009,LINER,BERNARD BTB MIG GUNS || ALUMINUM WIRE || LENGTH: 4.57 m || P/N: 415-45-03
D98MA0011,WELDING TORCH ASSEMBLY,XR-ALUMA-PRO || WIRE: ALUMINUM || AIR COOLED 300 A || DIA WIRE: 0.9-1.2 mm || LENGTH: 4.6 m
D77TR0003,INNER LINER,LENGTH: 315 mm || 0.8-1.2 mm || P/N: U5003L82  ||
D98EB0007,WHEEL,SUBMERGED ARC WELDING || D: 118 mm || THICKNESS: 30 mm || MOUNTING HOLE: 15mm
D98TI4050,SEAL,ROAD SEAL || FU0497-K0 || ID: 40mm || OD: 50mm || HEIGHT: 6mm || MATERIAL: IRON RUBBER
D98AB1215,AIR FILTER ELEMENT,INGERSOLL RAND 160 || P/N 24172215
D98MA0088,AIR/OIL SEPARATOR,INGERSOLL RAND SSR HPE 250-2S || P/N: 39760590
D98UX0125,AIR FILTER ELEMENT,P/N. 88290001-251 || for SULLAIR LS20 AIR SCREW COMP.
E97AB1154,AIR FILTER ELEMENT,P/N. 39750732 || for INGERSOLL-RAND AIR SCREW COMPRESSOR SSR-HPE 250-2S
E97AB2155,AIR-OIL SEPARATOR,P/N. 54509427 || for INGERSOLL-RAND AIR SCREW COMPRESSOR SSR-MM160
E97AB4085,AIR-OIL SEPARATOR,P/N. 250034-085  || for SULLAIR LS20 AIR SCREW COMP.
E97UX4873,AIR-OIL SEPARATOR,P/N : 02250048-734  || for SULLAIR LS20 AIR SCREW COMP.
D98AB1613,AIR FILTER ELEMENT,ATLAS COPCO || P/N: 1613-9001-00
D98MA0001,COMPRESSOR CONTROLLER,ATLAS COPCO || P/N: P1900520001 || SUPPLY: 24VAC/10VA
D98MA0002,COMPRESSOR CONTROLLER,ATLAS COPCO GA7 || P/N: 1900017271 || SUPPLY: 24VAC/12VA
D98AB1009,AIR FILTER ELEMENT,P/N: 88290003-111 || for SULLAIR LS20S-200 H AC AIR SCREW COMP
D98AB1010,PRIMARY AIR FILTER ELEMENT,P/N: 88290001-469 || for SULLAIR LS 20-150 H AC AIR SCREW COMP
D98AB1011,SECONDARY SEPARATOR ELEMENT,P/N: 02250048-734 || for SULLAIR LS 20-150 H AC AIR SCREW COMP
D98AB2004,OIL FILTER ELEMENT,P/N: 250025-526 || for SULLAIR LS20S-200 H AC AIR SCREW COMP
D98AB2005,PRIMARY SEPARATOR ELEMENT,P/N: 250034-122 || for SULLAIR LS20S-200 H AC AIR SCREW COMP
D98AB2006,SECONDARY SEPARATOR ELEMENT,P/N: 250034-134 || for SULLAIR LS20S-200 H AC AIR SCREW COMP
D98AB1006,AIR FILTER MIST SEPERATOR,AFM40-N04D-8Z || BODY SIZE 40 || THREAD TYPE: NPT 1/2 || FLOAT-TYPE AUTO DRAIN (N.O.) || MAX PRESS: 150 PSI
D98AB1015,SEPARATOR ELEMENT,ATLAS COPCO || P/N: 1613-9014-00
D98AB2010,OIL FILTER ELEMENT,ATLAS COPCO || P/N: 1613-6105-00
D98AB1001,AIR FILTER ELEMENT,DONALDSON P/N : P812823 || H: 13.980 || OD: 6.380
D98AB1002,AIR FILTER ELEMENT,DONALDSON || P/N: P829333 || HEIGHT: 339.5mm || OD: 94.6mm || ID: 74.1mm
D98AB1337,AIR FILTER ELEMENT,P/N: 26510337 || OD: 142mm || HEIGHT: 328.5mm
D98AB1361,COOLANT FILTER,P/N 1820361C1 || LENGTH: 135.89 mm || OD: 93.98 mm
D98AB1901,AIR FILTER,P/N 901-056 || ID: 150 mm || OD: 281 mm || Height: 418 mm
D98AB3076,FUEL FILTER,P/N 129907-55801 || OD 76mm || ID M20 x 1.5mm
D98MA4801,BELT,V BELT || ENGINE: 4TNV106-GGE || TYPE: B48H || P/N: 25163-004801
D81SR1210,ACCU,12V 100Ah MAINTENANCE FREE
D98DA0001,BOLT+SPRING WASHER+PLAIN WASHER+NUT,HEXAGONAL HEAD || M27 x 250 || THREAD LENGTH: 80 mm || STRENGTH: 8.8 T || CARBON STEEL
D98MA0621,PENDANT STATION,COMPLETE ASSY || 6-BUTTON DUAL SPEED || 10A-150VAC CONTACT RATING || 1-BUTTON EMERGENCY || IP65
D98SD2461,BRAKE LINING,NH CRANE || MOTOR: IKKC-ECKLBA8 (2.9/3.4 KW (4)/8P) || 蠒246X10
D98SD2934,INTERMEDIATE DISC,NH CRANE || MOTOR: IKKC-ECKLBA8 (2.9/3.4 KW (4)/8P)
D98SJ0205,BEARING,CYLINDRICAL ROLLER BEERING || NU 205 || ID: 25mm || OD: 52mm || W: 15mm
D98SD0001,BRAKE ROTOR SPARE PART SET,STAHL || P/N: 21 270 23 65 0
D98SD0002,BRAKE ROTOR SPARE PART SET,STAHL SH5 || P/N: 04 430 50 65 0
D98SD4740,BRAKE ROTOR SPARE PART SET,MOTOR HOIST STAHL 3 TON || P/N: 567 474 0
D98TC0001,CABLE TROLLEY,MATERIAL : STEEL/GALVANIS || FOUR WHEEL || I-BEAM WIDE RANGE: 50 mm - 120 mm ||
D80MC15045,PLANET GEAR DRIVE REAR AXLE,MATERIAL: VCN 150 || WIDTH: 40.5mm || HARDENING PROCESS
D80MC16077,RING GEAR DRIVE REAR AXLE,MATERIAL: VCN 150 || OD: 160mm || WIDTH: 77mm || HARDENING PROCESS (INSIDE RING)
D80MC6365,HALF SHAFT DRIVE REAR AXLE,MATERIAL: VCN 150 || LENGTH: 636.5mm || OD GEAR: 50.5mm || PARTIAL HARDENING
D80SQ0004,BAN PEJAL,BAN BELAKANG FORKLIFT || PEJAL || UK. 650 - 10
D80SQ0013,COVER CLUTCH,TCM FD30Z5 || P/N: 131A3-10201 A
D80SQ0141,BAN LUAR,TIRE SIZE: 245/70 R19.5  || 141J || TUBELESS
D80SQ0312,RIM,TCM FD30Z5 || RIM INSIDE || P/N: 22304-40312
D98AB1004,AIR FILTER ELEMENT,TCM FD30Z5 || P/N: 256G1-08011 || HEIGHT: 304mm || OD: 129mm || ID: 81mm
D98AB1248,AIR FILTER ELEMENT,TCM FD30C3Z || P/N 256C1-08011 || HT 10.76 OD 4.16 ID 2.48
D98AB2002,OIL FILTER,TCM FD30Z5 || SUCTION FILTER || P/N: 216G7-52051
D98AB2007,OIL FILTER,FORKLIFT TCM FD30 || ENGINE TYPE C240PKJ || PART NO 20801-01271
D98AB3240,FUEL FILTER ASSY,TCM FD30Z5 || C240PKJ || P/N: Z-8-94367-292-2
D98DA0002,BOLT,TCM FD30Z5 || UK: M20 || P/N: 25303-02102
D98DA0003,NUT,TCM FD30Z5 || P/N: 01400-10020
D98DA0004,NUT,TCM FD30Z5 || HUB. NUT || P/N: 23913-02041
D98NA0004,CLUTCH DISK,TCM FD30Z5 || DRIVE UNIT MOUNT (C-TYPE) || P/N: 114A3-10201
D98SJ30207,BEARING,SINGLE ROW TAPERED ROLLER BEARING || 4T-30207 || ID: 35mm || OD: 72mm || W || 18.25mm
D98SJ3934,BEARING,NEEDLE ROLLER BEARING || HKS 323934 || ID: 32mm || OD: 39mm || W: 34mm
D98TH0001,RIM ASS'Y,TCM FD30Z5 || P/N: 234F4-40101 ( RIM INSIDE & SIDE RING )
D81SR6331,ACCU,12V 70 AH YUASA
D98NA0002,MASTER CYLINDER ASS'Y,TCM FD30Z5 || P/N: 216G5-32071
D98NA0003,THREE WAY ASS'Y,TCM FD30Z5 || P/N: 234A8-41101
D98SD0003,BRAKE ROTOR SPARE PART SET,MOTOR TYPE: 8/2F13 || P/N: 21 270 23 65 0
D98TF1012,BAN LUAR,4.50-12 || BAN BELAKANG VIAR
D98TF2012,BAN DALAM,4.50-12  || BAN BELAKANG VIAR
D98AB2008,OIL FILTER,P/N: 32A40-00400 || HEIGHT: 102mm || WIDTH MAX: 108mm ||
D98AB1012,AIR FILTER ELEMENT,P/N: 91E61-00112 || OD: 129mm || HEIGHT: 310mm
D98AB3001,FUEL FILTER,FORKLIFT FD30N || P/N: 34462-30030
D98AB4002,HYDRAULIC RETURN FILTER,FORKLIFT FD30N || P/N: 91375-03800
D98AB4003,HYDRAULIC SUCTION FILTER,FORKLIFT FD30N || P/N: 91375-13600
